instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,0.0s,9.0,10.0,0.0,9.0,9.0,1,7200,220.43
t84_bays29,0.5s,8.0,8.0,0.0,8.0,8.0,1,7200,0.55
at84_ftv55,5.3s,-255.0,11.0,In,11.0,-255.0,1,,
t84_bayg29,0.6s,8.0,8.0,0.0,8.0,8.0,1,7200,0.62
at62_ft53,2.3s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,3.2s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,7.1s,-162.0,9.0,In,9.0,-162.0,1,,
at62_ftv35,1.3s,1.0,7.0,In,7.0,1.0,1,,
t84_gr96,2.1s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,1.9s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,6.1s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.6s,5.0,5.0,0.0,5.0,5.0,1,7200,0.58
t84_ulysses22,0.8s,7.0,7.0,0.0,7.0,7.0,1,7200,0.79
t84_eil76,1.9s,1.0,10.0,In,10.0,1.0,1,,
t62_kroD100,6.7s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,6.1s,9.0,9.0,0.0,9.0,9.0,1,7200,6.11
at84_ft70,16.4s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,0.8s,1.0,8.0,In,8.0,1.0,1,,
at62_ftv38,0.2s,1.0,6.0,In,6.0,1.0,1,,
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.04
t84_att48,0.1s,1.0,9.0,In,9.0,1.0,1,,
t84_kroE100,2.5s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,52.5s,1.0,1.0,0.0,1.0,1.0,1,7200,52.47
at62_ftv33,0.0s,7.0,8.0,0.0,7.0,7.0,14,7200,2350.28
at62_ftv64,2.5s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,3.9s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,0.3s,-98.0,10.0,In,10.0,-98.0,1,,
t84_gr24,0.1s,7.0,7.0,0.0,7.0,7.0,1,7200,0.11
t84_berlin52,0.4s,1.0,9.0,In,9.0,1.0,1,,
t84_eil51,1.1s,-191.0,9.0,In,9.0,-191.0,1,,
at62_ftv44,0.5s,1.0,8.0,In,8.0,1.0,1,,
at84_ry48p,0.3s,1.0,9.0,In,9.0,1.0,1,,
t62_eil51,0.6s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv44,0.2s,9.0,10.0,0.0,9.0,9.0,1,7200,307.03
t84_gr48,0.2s,1.0,9.0,In,9.0,1.0,1,,
at62_ry48p,0.5s,1.0,7.0,In,7.0,1.0,1,,
t84_kroD100,2.6s,1.0,10.0,In,10.0,1.0,1,,
t62_ulysses22,36.0s,5.0,5.0,0.0,5.0,5.0,1,7200,35.98
t62_att48,0.1s,1.0,8.0,In,8.0,1.0,1,,
at84_ftv64,1.0s,1.0,11.0,In,11.0,1.0,1,,
at84_ftv33,1.7s,9.0,9.0,0.0,9.0,9.0,1,7200,1.73
t62_gr24,52.5s,5.0,5.0,0.0,5.0,5.0,1,7200,52.53
t62_kroB100,3.9s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,2.6s,1.0,10.0,In,10.0,1.0,1,,
at62_ftv70,2.6s,1.0,9.0,In,9.0,1.0,1,,
t84_fri26,0.5s,8.0,8.0,0.0,8.0,8.0,1,7200,0.54
t62_swiss42,0.8s,-178.0,7.0,In,7.0,-178.0,1,,
at84_ftv47,0.1s,8.0,9.0,0.0,8.0,8.0,2,7200,445.76
t84_pr76,0.6s,1.0,10.0,In,10.0,1.0,1,,
at62_kro124p,13.3s,1.0,7.0,In,7.0,1.0,1,,
t84_dantzig42,0.3s,9.0,9.0,0.0,9.0,9.0,1,7200,142.58
t84_rat99,2.8s,1.0,10.0,In,10.0,1.0,1,,
t62_hk48,0.5s,1.0,7.0,In,7.0,1.0,1,,
t62_ulysses16,0.1s,4.0,4.0,0.0,4.0,4.0,1,7200,0.07
t62_berlin52,0.6s,1.0,7.0,In,7.0,1.0,1,,
t62_rat99,7.1s,1.0,7.0,In,7.0,1.0,1,,
at62_ftv47,0.6s,1.0,8.0,In,8.0,1.0,1,,
t62_gr48,0.5s,1.0,7.0,In,7.0,1.0,1,,
t62_fri26,87.5s,6.0,6.0,0.0,6.0,6.0,1,7200,87.52
t62_kroC100,5.4s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv70,1.4s,1.0,11.0,In,11.0,1.0,1,,
t62_burma14,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.05
at84_kro124p,8.3s,1.0,10.0,In,10.0,1.0,1,,
t62_rd100,5.8s,1.0,7.0,In,7.0,1.0,1,,
t62_gr96,5.2s,1.0,7.0,In,7.0,1.0,1,,
t84_swiss42,0.2s,9.0,9.0,0.0,9.0,9.0,1,7200,237.45
t84_st70,0.8s,1.0,10.0,In,10.0,1.0,1,,
t62_dantzig42,1.4s,-192.0,7.0,In,7.0,-192.0,1,,
t62_kroA100,9.7s,1.0,8.0,In,8.0,1.0,1,,
t84_kroB100,3.1s,1.0,10.0,In,10.0,1.0,1,,
at84_ft53,1.2s,1.0,10.0,In,10.0,1.0,1,,
t84_burma14,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
at62_ft70,7.7s,1.0,6.0,In,6.0,1.0,1,,
t62_brazil58,1.6s,1.0,6.0,In,6.0,1.0,1,,
at84_br17,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_kroC100,2.7s,1.0,11.0,In,11.0,1.0,1,,
t84_gr17,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.04
t84_ulysses16,0.1s,6.0,6.0,0.0,6.0,6.0,1,7200,0.08
t84_gr21,0.1s,8.0,8.0,0.0,8.0,8.0,1,7200,0.08
t62_bayg29,0.1s,5.0,6.0,0.0,5.0,5.0,1,7200,383.68
t84_rd100,3.4s,1.0,11.0,In,11.0,1.0,1,,
at84_p43,,2.0,,0.0,2.0,2.0,1,7200,249.26
t62_bays29,0.2s,6.0,6.0,0.0,6.0,6.0,1,7200,135.27
